Query_id,query
internvid_english_sports_professional_base_2,2018 Ohio State vs. Purdue football game
internvid_english_sports_professional_base_3,2022 NFL draft
internvid_english_sports_professional_base_4,2022 Tour de France
internvid_english_sports_professional_base_5,Blountstown High School Tigers football preview
internvid_english_sports_professional_base_6,Bennett high school wins state championship
internvid_english_sports_professional_description_0,Steve Kerr post-game interview
internvid_english_sports_professional_description_1,Navy women's lacrosse overtime win
internvid_english_sports_professional_description_2,D.J. Knox scoring three touchdowns against Ohio State
internvid_english_sports_professional_description_3,Brady Quinn and Pete Prisco discussing Seattle Seahawks draft
internvid_english_sports_professional_description_4,Wout Van Aert stage win in bike race
internvid_english_sports_professional_description_5,Bennett high school wins after 0-6 automatic loss
internvid_english_sports_professional_speech_0,Bob Myers and Joe Lacob
internvid_english_sports_professional_speech_1,Casey Dietzel scoring goal against Johns Hopkins
internvid_english_sports_professional_speech_2,Rondale Moore breaking tackles with leg strength
internvid_english_sports_professional_speech_3,Seattle Seahawks drafting Sam Howell
internvid_english_sports_professional_speech_4,Cyclists jockeying for position in the final stretch
internvid_english_sports_professional_speech_5,Blounstown Tigers 2017 state championship loss
internvid_english_sports_professional_speech_6,Steve McDuffie's team won state championship
internvid_english_sports_professional_ocr_0,Urban Meyers career road record
internvid_english_sports_professional_ocr_1,LSU cornerback drafted after season-ending foot injury
internvid_english_sports_professional_ocr_2,2022 Tour de France Stage 4
internvid_english_sports_professional_ocr_3,Interview of football coach Beau Johnson
internvid_english_sports_professional_ocr_4,NYSPHSANA team Bennett high school wins state championship
internvid_english_political_edited_base_0,2022 G20 Bali summit
internvid_english_political_edited_base_1,2022 Rahul Gandhi nightclub controversy
internvid_english_political_edited_base_2,2022 Camp Crame hostage situation
internvid_english_political_edited_base_3,2022 Delhi court ruling on restaurant service charges
internvid_english_political_edited_base_4,Money change after British queen death
internvid_english_political_edited_base_5,2023 Black Sea drone incident
internvid_english_political_edited_base_6,Elizabeth Warren student debt forgiveness
internvid_english_political_edited_base_7,Biden passes US sanctions to protect Burma
internvid_english_political_edited_description_0,Security at the G-20 meeting
internvid_english_political_edited_description_1,Indian politician attending journalist wedding in Nepal
internvid_english_political_edited_description_2,Leila de Lima taken hostage in detention center
internvid_english_political_edited_description_3,Indian ruling to prevent service charges on take-out orders
internvid_english_political_edited_description_4,Queen Elizabeth replaced by King Charles on UK currency
internvid_english_political_edited_description_5,Russian plane interfering with surveillance drone
internvid_english_political_edited_description_6,Campaign proposal to forgive student loans
internvid_english_political_edited_description_7,US sanctions Myanmar after military coup
internvid_english_political_edited_speech_0,2022 summit between Xi Jinping and Joe Biden
internvid_english_political_edited_speech_1,Political fallout from Rahul Gandi viral video
internvid_english_political_edited_speech_2,Filipino senator detained during war on drugs
internvid_english_political_edited_speech_3,Delhi restaurants required to display service charge policy
internvid_english_political_edited_speech_4,Prevalence of Queen Elizabeth's face on currency
internvid_english_political_edited_speech_5,Fighter jet spraying US drone with jet fuel
internvid_english_political_edited_speech_6,Biden and Kamala Harris meet with Defense Secretary Lloyd Austin about Burmese government
internvid_english_political_edited_ocr_0,Operation Grand Castle security preparations
internvid_english_political_edited_ocr_1,Syed Shahnawaz Hussain reaction to nightclub footage
internvid_english_political_edited_ocr_2,Hostage-taker pressing knife into politician's chest
internvid_english_political_edited_ocr_3,James Clyburn Elizabeth Warren partnership for student debt bill
internvid_english_political_pov_base_0,2022 Russian invasion of Ukraine
internvid_english_political_pov_base_1,2017 New South Wales energy crisis
internvid_english_political_pov_base_2,Belize accession to New York Convention
internvid_english_political_pov_base_3,2022 Liz Truss resignation
internvid_english_political_pov_description_0,Ukraine military stops Russian troops from crossing river
internvid_english_political_pov_description_1,Australian legislative session discussing increased electrical costs
internvid_english_political_pov_description_2,United Democratic Party rejecting convention ratification
internvid_english_political_pov_description_3,Tax bill failure causing UK prime minister to resign
internvid_english_political_pov_ocr_0,Siverskyi Donets river bridge destroyed
internvid_english_political_pov_ocr_1,UDP leader Michael Peyrefitte senate speech
internvid_english_political_pov_speech_0,Hotline for explaining eligibility for Australian rebate programs
internvid_english_political_pov_speech_1,Opposition party requesting transparency before passing bill
internvid_english_political_pov_speech_2,2022 British conservative party leadership election
internvid_english_political_professional_base_0,Senator Al Franken sexual harassment investigation
internvid_english_political_professional_base_1,New Orleans Smart Cities project investigation
internvid_english_political_professional_base_2,Montana mom fighting terrorism
internvid_english_political_professional_base_3,Recent business rescue plan finished
internvid_english_political_professional_base_4,North Korean drops from Olympics
internvid_english_political_professional_base_5,Prime mister funeral coverage
internvid_english_political_professional_base_6,New York City rat infestation
internvid_english_political_professional_base_7,Private brands products gain popularity in Korea
internvid_english_political_professional_base_8,National Population Commission prepares for 2023 Nigerian census
internvid_english_political_professional_base_9,Republicans blame Mitch McConnell for mid-terms
internvid_english_political_professional_base_10,President Trump claims legal immunity
internvid_english_political_professional_description_0,Al Franken Ethics Committee investigation
internvid_english_political_professional_description_1,Mayor's staff records request restraining order
internvid_english_political_professional_description_2,Montana mom terrorist chat infiltration
internvid_english_political_professional_description_3,business rescue plan cost billions
internvid_english_political_professional_description_4,COVID-19 pandemic causes North Korea to drop from Tokyo Olympics
internvid_english_political_professional_description_5,Shinzo Abe tragically killed in July
internvid_english_political_professional_description_6,Eric Adams hiring director for rat control
internvid_english_political_professional_description_7,Lotte Mart distributed PB products
internvid_english_political_professional_description_8,Nasir Kwarra meets with Etsu Nupe ahead of 2023 census
internvid_english_political_professional_description_9,Republicans do not win control of Senate in Midterm
internvid_english_political_professional_description_10,Lawsuits from Members of Congress and Capitol Police
internvid_english_political_professional_speech_0,Al Franken Leon Tweeden kiss
internvid_english_political_professional_speech_1,New Orleans Smart Cities contract fixing
internvid_english_political_professional_speech_2,Former judge turns into government intelligence asset
internvid_english_political_professional_speech_3,business airline rescue plan costs 12.5 billion
internvid_english_political_professional_speech_4,International travel cancels North Korea in Tokuyo Olympics
internvid_english_political_professional_speech_5,Shinzo Abe prime minister shot
internvid_english_political_professional_speech_6,NYC rat infestation effects on community
internvid_english_political_professional_speech_7,Tiers of private brand products
internvid_english_political_professional_speech_8,Role of traditional institutions in Nigerian governmental initiatives
internvid_english_political_professional_speech_9,Senators Rick Scott and Josh Hawley clash with McConnell
internvid_english_political_professional_speech_10,Security guards assault six protesters Trump Tower
internvid_english_political_professional_ocr_0,Franken groping without consent
internvid_english_political_professional_ocr_1,New Orleans mayor computers seized
internvid_english_political_professional_ocr_2,Shannon Rossmiller infiltrating al-Qa'eda chat rooms
internvid_english_political_professional_ocr_3,Director of Rodent Mitigation salary range
internvid_english_political_professional_ocr_4,Garba Abari statement about 2023 census
internvid_english_political_professional_ocr_5,"Mitch McConnell, Donald Trump Truth Social November 13"
internvid_english_political_professional_ocr_6,Immunity from January 6 civil lawsuits
internvid_english_election_edited_base_0,2022 US midterm elections
internvid_english_election_edited_base_1,2020 Democratic Party presidential primaries
internvid_english_election_edited_speech_0,Split results of 2022 midterm elections
internvid_english_election_edited_speech_1,Controversy over New York City's stop and frisk policy
internvid_english_election_edited_ocr_0,Influence of Supreme Court decisions on midterm elections
internvid_english_election_edited_ocr_1,NYC mayor Michael Bloomberg's policies targeting minorities
internvid_english_election_edited_description_0,February 2020 Democratic presidential primary debate
internvid_english_election_pov_base_0,2023 proposed Burma elections
internvid_english_election_pov_base_1,Joe Biden thoughts on 2024 presidential election
internvid_english_election_pov_description_0,Antony Blinken questioning legitimacy of Burmese elections
internvid_english_election_pov_description_1,US president joking about re-election
internvid_english_election_pov_speech_0,US reaction to planned Burma elections
internvid_english_election_pov_speech_1,Ron DeSantis and Donald Trump running for US president
internvid_english_election_pov_ocr_0,American opinions on Joe Biden running for re-election
internvid_english_election_professional_base_0,Bailey makes speech after losing election
internvid_english_election_professional_base_1,No opponent for Lafayette major
internvid_english_election_professional_description_0,Bailey lost 2022 midterm election
internvid_english_election_professional_speech_0,Bailey makes speech in Springfield Illinois
internvid_english_election_professional_speech_1,Roswarski serves three terms as mayor
internvid_english_election_professional_ocr_0,Bob Hicks Tippecanoe County Republican Party Chair interview for major election
internvid_english_emergency_pov_base_0,2022 Qazigund bus crash
internvid_english_emergency_pov_base_1,July 2019 Nepal flooding
internvid_english_emergency_pov_base_2,2022 Florida lightning strike
internvid_english_emergency_pov_base_3,2022 Hawaiian Airlines flight turbulence
internvid_english_emergency_pov_base_4,September 2022 Hurricane Ian
internvid_english_emergency_pov_base_5,2021 Crowell fuel tanker explosion
internvid_english_emergency_pov_base_6,2022 Kartanaka bus and tempo collision
internvid_english_emergency_pov_description_0,Injuries during Amarnath Yatra pilgrimage
internvid_english_emergency_pov_description_1,Kavre village destruction from monsoon rain
internvid_english_emergency_pov_description_2,Lightning hitting truck in motion
internvid_english_emergency_pov_description_3,Flight passengers hospitalized due to injuries
internvid_english_emergency_pov_description_4,Florida water receding due to approaching storm
internvid_english_emergency_pov_description_5,Unknown injury toll from Kalaburagi bus crash
internvid_english_emergency_pov_ocr_0,Kashmir bus collision with dump truck
internvid_english_emergency_pov_ocr_1,No injuries from truck hit by lightning
internvid_english_emergency_pov_ocr_2,Indian bus catching on fire after accident
internvid_english_emergency_pov_speech_0,Flight attendant searching for doctors on plane
internvid_english_emergency_pov_speech_1,Tampa Bay shoreline without water
internvid_english_emergency_edited_base_0,2020 Israel-Palestine conflict in West Bank
internvid_english_emergency_edited_base_1,Drivers use caution during snow storms in Scotland
internvid_english_emergency_edited_description_0,Israeli forces destroying Palestinian village
internvid_english_emergency_edited_description_1,Caution urged during Storm Eunice in Scotland
internvid_english_emergency_edited_ocr_0,Jordan Valley village burned due to lack of building permits
internvid_english_emergency_edited_ocr_1,Met Office yellow warning until 6pm
internvid_english_emergency_professional_base_0,Worldwide Monkeypox outbreak escalation
internvid_english_emergency_professional_base_1,House collapsed during house party
internvid_english_emergency_professional_description_0,Monkeypox United States case increase
internvid_english_emergency_professional_description_1,Teen dancing causes floor to collapse
internvid_english_emergency_professional_speech_0,Monkeypox public health emergency declaration
internvid_english_emergency_professional_speech_1,Gavin Neer and multiple other teens hurt a party
internvid_english_discovery_edited_base_0,2020 Tokyo Business Breakthrough school graduation ceremony
internvid_english_discovery_edited_description_0,Creative graduation solution during covid-19 pandemic
internvid_english_discovery_edited_ocr_0,University graduation with remote-controlled robots
internvid_english_discovery_professional_base_0,Meat vending machine invention
internvid_english_discovery_professional_description_0,County review of meat vending machine
internvid_english_discovery_professional_speech_0,Eric Miller butcher business plan
internvid_english_discovery_professional_ocr_0,V. Miller Meats butchery owner interview
internvid_english_other_pov_base_0,Punta Gorda golf course alligator sighting
internvid_english_other_pov_base_1,2018 Birmingham assault case against Ithamar
internvid_english_other_pov_base_2,Hiking family encounter with Canadian bear
internvid_english_other_pov_description_0,Florida golfer reaction to alligator approaching
internvid_english_other_pov_ocr_0,Crown Prosecution Service response to assault defendant complaint
internvid_english_other_pov_ocr_1,Whistler hiking incident with bear
internvid_english_other_professional_base_0,Caron Nazario police brutality incident
internvid_english_other_professional_base_1,University of Idaho students dead
internvid_english_other_professional_base_2,J.K. Dobbins Purple Playbook
internvid_english_other_professional_base_3,Rose Ferron statue preservation in Rhode Island
internvid_english_other_professional_base_4,Fighting Chicago parking tickets
internvid_english_other_professional_base_5,Help with Christmas decorations for disabled veterans
internvid_english_other_professional_base_6,Greensboro teen front door kick prank
internvid_english_other_professional_base_7,Rent control rally in New Mexico
internvid_english_other_professional_base_8,Johnny Depp and Amber Heard in court
internvid_english_other_professional_base_9,Food for LA homeless thrown in trash
internvid_english_other_professional_base_10,Nigeria improves Shea Butter production
internvid_english_other_professional_base_11,Homeless camp in Longview
internvid_english_other_professional_base_12,NBA no games on election day 2022
internvid_english_other_professional_base_13,Richland County expungement of criminal records
internvid_english_other_professional_base_14,Takeoff killed in shooting
internvid_english_other_professional_description_0,Police traffic stop body camera footage
internvid_english_other_professional_description_1,University of Idaho student death investigation
internvid_english_other_professional_description_2,Ravens running back joining WJZ show
internvid_english_other_professional_description_3,Rose Ferron commemoration Woonsocket
internvid_english_other_professional_description_4,Chicago winning parking ticket disputes
internvid_english_other_professional_description_5,Sykesville company assisting with Christmas decorations
internvid_english_other_professional_description_6,Anthony Vogt home broken into by criminals
internvid_english_other_professional_description_7,Citizens rally to control rent in Albuquerque
internvid_english_other_professional_description_8,Amber Heard and Johnny Depp tapes played in court
internvid_english_other_professional_description_9,Mayor Eric Garcetti interviewed about food for homeless
internvid_english_other_professional_description_10,Nigeria works with Netherlands to improve Shea Butter production
internvid_english_other_professional_description_11,150 people in homeless camp at Alabama and Oregon Way
internvid_english_other_professional_description_12,NBA hosts civic engagement night
internvid_english_other_professional_description_13,5th Circuit Solicitor's Office teaches about the expungement processs
internvid_english_other_professional_description_14,Rapper Takeoff killed in Downtown Houston Nov. 1
internvid_english_other_professional_speech_0,Man pepper sprayed at traffic stop
internvid_english_other_professional_speech_1,University of Idaho deaths off-campus
internvid_english_other_professional_speech_2,J.K. Dobbins at Jimmy's Famous Seafood
internvid_english_other_professional_speech_3,Ed Goodhart carving statue of Rose Farron
internvid_english_other_professional_speech_4,Mike Brockway parking ticket advice
internvid_english_other_professional_speech_5,Christmas present for Daniel Turner disabled marine
internvid_english_other_professional_speech_6,North Carolina man offering teen construction job after incident
internvid_english_other_professional_speech_7,Senator Linda Lopez bans rent increases
internvid_english_other_professional_speech_8,Australian broken by Amber Heard
internvid_english_other_professional_speech_9,LA Homeless Services Authority throwing food in trash
internvid_english_other_professional_speech_10,Nigerian Export Promotion Council works to increase shea butter production
internvid_english_other_professional_speech_11,Business complain to Longview City Council
internvid_english_other_professional_speech_12,NBA encourages fans to vote in November
internvid_english_other_professional_speech_13,Clearing a criminal record to secure jobs
internvid_english_other_professional_speech_14,Takeoff shot and killed near bowling ally
internvid_english_other_professional_ocr_0,Police sued by army officer
internvid_english_other_professional_ocr_1,Evidence for disputing parking tickets
internvid_english_other_professional_ocr_2,People's Housing Project Organization Rally
internvid_english_other_professional_ocr_3,Vanessa Paradis says Johnny Depp is non-violent person
internvid_english_other_professional_ocr_4,Matt's Custom Meats
internvid_english_other_professional_ocr_5,Richland Library expungement discussions
internvid_english_other_professional_ocr_6,Takeoff also known as Khari Ball
internvid_english_social_edited_base_0,2021 Eid al-Adha celebration
internvid_english_social_edited_description_0,Antony Blinken meeting with Muslim healthcare workers
internvid_english_social_edited_speech_0,Muslim doctors relationships with patients during pandemic
internvid_english_social_edited_ocr_0,Jordanian anti-covid initiative WATAN
internvid_english_social_professional_base_0,2022 International Pillow Fight Day
internvid_english_social_professional_description_0,Toronto citizens participating in Pillow Fight Day
internvid_english_social_professional_speech_0,Rules for safe pillow fighting during holiday
internvid_english_protest_pov_base_0,2019 Gaza Strip protests
internvid_english_protest_pov_base_1,2020 Mumbai migrant workers lockdown protest
internvid_english_protest_pov_description_0,Israeli troops firing tear gas into Palestinian protestors
internvid_english_protest_pov_description_1,Police hitting protestors near Bandra station
internvid_english_protest_edited_base_0,Steve Foster Bay Area police brutality incident
internvid_english_protest_edited_description_0,California train station arrest for eating sandwich
internvid_english_protest_edited_speech_0,Train platform cops accusing man of resisting arrest
internvid_english_protest_edited_ocr_0,San Francisco citizens staging eat-in to protest arrest
internvid_chinese_political_edited_base_0,2022 Russian invasion of Ukraine
internvid_chinese_political_edited_base_1,Taipei mayor candidate visits Lungshan temple
internvid_chinese_political_edited_base_2,Marion Le Pen changes party name
internvid_chinese_political_edited_base_3,2021 China-India border dispute
internvid_chinese_political_edited_base_4,2023 Chinese spy balloon incident
internvid_chinese_political_edited_base_5,2022 Chinese military exercises around Taiwan
internvid_chinese_political_edited_base_6,2021 Taiwan military fortifications
internvid_chinese_political_edited_base_7,2021 Xi Jinping Joe Biden virtual meeting
internvid_chinese_political_edited_base_8,2022 Summit of the Americas
internvid_chinese_political_edited_base_9,2022 Chinese covid quarantine policy
internvid_chinese_political_edited_base_10,2022 alleged kidnapping of Indian teenager
internvid_chinese_political_edited_description_0,Candidate Chen Shih-Chung visits Lungshan temple
internvid_chinese_political_edited_description_1,Marion Le Pen National Rally
internvid_chinese_political_edited_description_2,Chinese troops destroying Indian infrastructure
internvid_chinese_political_edited_description_3,India's reaction to Russia-Ukraine war
internvid_chinese_political_edited_description_4,US reaction to Chinese spy balloon
internvid_chinese_political_edited_description_5,August 2022 maritime safety warning in Yellow Sea
internvid_chinese_political_edited_description_6,Taiwan investing in new fighter jets
internvid_chinese_political_edited_description_7,US barring several political leaders from attending LA summit
internvid_chinese_political_edited_description_8,India accusing Chinese army of kidnapping in Arunachal Pradesh
internvid_chinese_political_edited_speech_0,Wanhua residents dissatisfied with Chen Shih-Chung
internvid_chinese_political_edited_speech_1,Marion Le Pen National Rally Far Right
internvid_chinese_political_edited_speech_2,Indian soldiers launching missile along Chinese border
internvid_chinese_political_edited_speech_3,US using Ukraine for proxy war with Russia
internvid_chinese_political_edited_speech_4,Antony Blinken postponing China visit over balloon
internvid_chinese_political_edited_speech_5,2021 Taiwanese defense budget
internvid_chinese_political_edited_speech_6,Mexico president response to US exclusion of other countries
internvid_chinese_political_edited_speech_7,Chinese National Security Commision changing Covid requirements
internvid_chinese_political_edited_speech_8,China-India dispute of South Tibet region
internvid_chinese_political_edited_ocr_0,Chen Shih-Chung visit protested
internvid_chinese_political_edited_ocr_1,Marion Le Pen revokes father's title
internvid_chinese_political_edited_ocr_2,Indian citizens opinions on Russian invasion of Ukraine
internvid_chinese_political_edited_ocr_3,Chinese apology for reconnaissance technology in US airspace
internvid_chinese_political_edited_ocr_4,Missile launches during South China Sea military exercises
internvid_chinese_political_edited_ocr_5,2023 attempts to improve Sino-US relations
internvid_chinese_political_edited_ocr_6,US concerns about Latin American democratic standards
internvid_chinese_political_edited_ocr_7,China potentially decreasing to seven-day Covid quarantine
internvid_chinese_political_edited_ocr_8,Zhao Lijian discussing southern border control
internvid_chinese_political_pov_base_0,2022 Russian invasion of Ukraine
internvid_chinese_political_pov_base_1,Taiwan police bureau electric bike regulations
internvid_chinese_political_pov_base_2,Najib Razak corruption trial
internvid_chinese_political_pov_base_3,2019 Kyrgystan building overseas universities in Malaysia
internvid_chinese_political_pov_base_4,2019 meeting evaluation of China's Judges Law
internvid_chinese_political_pov_base_5,2022 NATO Madrid summit
internvid_chinese_political_pov_base_6,2010 Yang Hengjun blog posts
internvid_chinese_political_pov_base_7,2023 Boris Johnson resignation
internvid_chinese_political_pov_base_8,2021 Malaysian covid vaccination efforts
internvid_chinese_political_pov_description_0,Miaoli County Police Bureau report October 2020
internvid_chinese_political_pov_description_1,Malaysian prime minister corruption trial
internvid_chinese_political_pov_description_2,Mukhriz Mahathir's solutions for boosting Kedah economy
internvid_chinese_political_pov_description_3,Butterfly mines discovered in Russian-occupied Donetsk
internvid_chinese_political_pov_description_4,Vetting process of Chinese judges
internvid_chinese_political_pov_description_5,Joe Biden ignoring Yoon Suk Yeol handshake
internvid_chinese_political_pov_description_6,Chinese journalist publishing through censorship
internvid_chinese_political_pov_description_7,Chinese reaction to UK prime minister resigning
internvid_chinese_political_pov_description_8,Adham bin Baba launching immunization program
internvid_chinese_political_pov_speech_0,Electric bike safety education
internvid_chinese_political_pov_speech_1,Prior 2011 changes to Chinese judicial law
internvid_chinese_political_pov_speech_2,Censoring of critical article about Chinese progress
internvid_chinese_political_pov_speech_3,China-England international relations
internvid_chinese_political_pov_speech_4,Ministry of Health preventing vaccine dose wastage
internvid_chinese_political_pov_ocr_0,Najib Razak traveling to court for trial
internvid_chinese_political_pov_ocr_1,Antipersonnel butterfly mines dropped on Ukraine city
internvid_chinese_political_pov_ocr_2,Suggested amendments to Judges Law in congress
internvid_chinese_political_pov_ocr_3,NATO security general cancelled meeting with South Korean president
internvid_chinese_political_professional_base_0,U.S General nominated COVID emergency response
internvid_chinese_political_professional_base_1,President Biden dementia concerns
internvid_chinese_political_professional_base_2,Feng Shih-kuan letter leaked
internvid_chinese_political_professional_base_3,Iran-bound Russian plane interception
internvid_chinese_political_professional_base_4,U.S reliance on China rare earth elements reduced
internvid_chinese_political_professional_base_5,North Korea special envoy U.S China talks
internvid_chinese_political_professional_base_6,Chinese military jets deliver aid to Tonga
internvid_chinese_political_professional_base_7,Xu Yongming bribery evidence
internvid_chinese_political_professional_base_8,restrictions on used cars eliminated
internvid_chinese_political_professional_base_9,Influencers support one-China policy during Pelosi visit
internvid_chinese_political_professional_base_10,Taiwan officials meet with Xi Jinping in Beijing
internvid_chinese_political_professional_base_11,Russian diplomat discusses relations with North Korea
internvid_chinese_political_professional_description_0,U.S Government leadership COVID infection contingency
internvid_chinese_political_professional_description_1,President Biden shakes hands with the air
internvid_chinese_political_professional_description_2,missile photo leaked
internvid_chinese_political_professional_description_3,Russian Su-30 show of power
internvid_chinese_political_professional_description_4,U.S House of Representatives law limiting dependence on Chinese rare earth
internvid_chinese_political_professional_description_5,North Korea Special Envoy Six-Party Talks
internvid_chinese_political_professional_description_6,Two Chinese military jets arrive in Tonga with aid
internvid_chinese_political_professional_description_7,elimination of used car restrictions promoting consumption
internvid_chinese_political_professional_description_8,Chinese celebrities comment on Speaker Pelosi's Taiwan visit
internvid_chinese_political_professional_description_9,KMT delegation led by Zhu Lilun meets with CCP
internvid_chinese_political_professional_description_10,Andrey Denisov comments on Korean peninsula issues
internvid_chinese_political_professional_speech_0,General O'Shaughnessy COVID emergency leader
internvid_chinese_political_professional_speech_1,Biden forgets Secretary of Defense's name
internvid_chinese_political_professional_speech_2,Feng Shih-kuan asks colonel's whereabouts
internvid_chinese_political_professional_speech_3,UK Typhoon fighter jets intercept Russian IL-76
internvid_chinese_political_professional_speech_4,China rare earth reliance national security threat
internvid_chinese_political_professional_speech_5,North Korea food and energy aid
internvid_chinese_political_professional_speech_6,Chinese jets arrive in Tonga 11:30 AM
internvid_chinese_political_professional_speech_7,Legislator Xu Yongming cell phone bribery evidence
internvid_chinese_political_professional_speech_8,2018 decline in automobile sales
internvid_chinese_political_professional_speech_9,Wang Xinling and Liu Genhong pro-unification posts on Weibo
internvid_chinese_political_professional_speech_10,KMT and CCP leaders hold talks on Taiwan straits issues
internvid_chinese_political_professional_speech_11,Kim Jong Un's first visit to Russia
internvid_chinese_political_professional_ocr_0,General O'Shaughnessy Combatant Commander Martial Law
internvid_chinese_political_professional_ocr_1,President Biden frequently forgetting words
internvid_chinese_political_professional_ocr_2,Feng Shih-kuan criticizes colonel for going to cafe
internvid_chinese_political_professional_ocr_3,Iran-bound Russian plane weapons transport
internvid_chinese_political_professional_ocr_4,Utah representative Rob Bishop rare earth
internvid_chinese_political_professional_ocr_5,North Korea Special Envoy U.S meeting Beijing
internvid_chinese_political_professional_ocr_6,Chinese military jets Nukuʻalofa airport aid
internvid_chinese_political_professional_ocr_7,Xu Yongming attends public hearing
internvid_chinese_political_professional_ocr_8,Mainland TV plays anti-Japanese films during Pelosi visit
internvid_chinese_political_professional_ocr_9,First meeting between Zhu Lilun and Xi Jinping
internvid_chinese_political_professional_ocr_10,Russian support to North Korea during sanctions
internvid_chinese_other_edited_base_0,Husky police dog training
internvid_chinese_other_edited_base_1,Motorcyclists photographs police speed trap
internvid_chinese_other_edited_base_2,injured egret eats snake
internvid_chinese_other_edited_base_3,thief steals object off of ice cream store counter
internvid_chinese_other_edited_description_0,Police try training husky police dogs
internvid_chinese_other_edited_description_1,Eaten snake escapes egret through wound
internvid_chinese_other_edited_description_2,thief steals change tray from dessert parlor
internvid_chinese_other_edited_speech_0,husky police dog obstacle course training
internvid_chinese_other_edited_speech_1,Motorcyclist unauthorized road police encounter
internvid_chinese_other_edited_speech_2,Thief distracts store employee steals change tray
internvid_chinese_other_edited_ocr_0,husky specialized for sledding
internvid_chinese_other_edited_ocr_1,motorcycle noise and speed safety issue education
internvid_chinese_other_professional_base_0,Damaged Express Shipment Reimbursement
internvid_chinese_other_professional_base_1,Next-generation Moderna Covid Vaccine High Demand
internvid_chinese_other_professional_base_2,Designer coat damaged at cleaner
internvid_chinese_other_professional_base_3,Senior citizen phone anti-theft locking
internvid_chinese_other_professional_base_4,China A-Share Predictions
internvid_chinese_other_professional_base_5,J-20 Quzhou landing
internvid_chinese_other_professional_base_6,kitten dies during blood drawing
internvid_chinese_other_professional_base_7,missile launch test
internvid_chinese_other_professional_base_8,Titan arum blooms
internvid_chinese_other_professional_base_9,Diesel carbamide export restriction shortage
internvid_chinese_other_professional_base_10,Singapore takes stricter measures to control COVID
internvid_chinese_other_professional_base_11,Influencer claims problems with Tesla breaking system
internvid_chinese_other_professional_base_12,Taiwan plans to use BioNTech vaccine for students
internvid_chinese_other_professional_base_13,Taiwanese insurance company refunds customers
internvid_chinese_other_professional_description_0,Projector Express Shipment Damage Insufficient Reimbursement
internvid_chinese_other_professional_description_1,Covid Strain Dominant Taiwan
internvid_chinese_other_professional_description_2,Coach coat stained black by cleaner
internvid_chinese_other_professional_description_3,Senior citizen phone stolen purchase points used
internvid_chinese_other_professional_description_4,J-20 stealth fighter jet Quzhou landing
internvid_chinese_other_professional_description_5,kitten veterinarian blood drawing complications death
internvid_chinese_other_professional_description_6,HQ-17 HQ-7B missile launch tests
internvid_chinese_other_professional_description_7,Titan Arum blooms 48 hours botanical garden
internvid_chinese_other_professional_description_8,China carbamide export restrictions global shortage
internvid_chinese_other_professional_description_9,Singapore closes schools as COVID cases exceed 1000
internvid_chinese_other_professional_description_10,Tesla sues Chinese influencer for defamation
internvid_chinese_other_professional_description_11,Pfizer vaccine approved for use on Taiwanese under 18
